username,public_repos,public_gists,followers,following,created_at,updated_at,hireable,company,blog,location,type,site_admin
mem0ai,8,0,1116,0,2023-06-19T09:32:13Z,2026-05-23T17:45:22Z,,,https://mem0.ai,United States of America,Organization,False
ultralytics,53,0,10842,0,2017-04-01T07:59:53Z,2026-06-02T00:10:08Z,,,https://ultralytics.com,United States of America,Organization,False
zylon-ai,7,0,271,0,2023-09-01T10:50:11Z,2025-09-16T09:16:48Z,,,https://zylon.ai/,,Organization,False
soimort,48,112,2903,45,2010-07-24T17:55:33Z,2026-03-15T17:55:06Z,True,,https://www.soimort.org/,"Home, Earth",User,False
Textualize,33,0,2335,0,2021-10-29T10:06:26Z,2025-06-21T09:37:34Z,,,https://www.textualize.io,,Organization,False
ageitgey,50,10,4335,3,2011-07-05T20:51:02Z,2026-05-14T06:27:06Z,,,,Various places,User,False
MemPalace,2,0,553,0,2026-04-10T16:53:56Z,2026-04-24T00:59:09Z,,,https://linktr.ee/mempalace,,Organization,False
deepfakes,4,0,4110,0,2017-12-19T01:40:54Z,2026-06-09T19:00:01Z,,,,,User,False
AntonOsika,146,10,3313,26,2013-05-18T20:06:54Z,2026-06-10T13:38:55Z,,,,,User,False
Zie619,20,0,4024,2,2019-08-29T13:29:02Z,2026-05-31T21:26:53Z,,,,,User,False
psf,42,0,2342,0,2019-05-14T15:17:53Z,2026-06-09T17:01:03Z,,,https://python.org/psf/github,,Organization,False
crewAIInc,32,0,2079,0,2024-05-23T21:31:04Z,2026-06-03T14:45:45Z,,,https://crewai.com,United States of America,Organization,False
odoo,43,0,8298,0,2014-01-10T11:48:12Z,2024-01-26T10:48:39Z,,,https://www.odoo.com,Belgium,Organization,False
jingyaogong,10,0,1974,1,2020-03-17T11:00:58Z,2026-06-07T14:55:39Z,,NJU,,China,User,False
xai-org,7,0,9750,0,2023-04-09T20:11:18Z,2026-04-01T19:09:00Z,,,https://x.ai/,United States of America,Organization,False
freqtrade,11,0,1740,0,2018-03-19T10:09:59Z,2026-05-18T12:30:57Z,,,,,Organization,False
